,E01018218,E01018219,E01018220,E01018221,E01018222,E01018223,E01018224,E01018225,E01018226,E01018227,E01018228,E01018231,E01018232,E01032611,E01018233,E01018234,E01018235,E01018236,E01018237,E01018238,E01018239,E01018240,E01018241,E01018242,E01018243,E01018244,E01018245,E01018246,E01018247,E01018248,E01018249,E01018250,E01018251,E01018252,E01018253,E01018254,E01018255,E01018256,E01018257,E01018258,E01018259,E01018260,E01018262,E01018263,E01018264,E01018265,E01018266,E01018267,E01018268,E01018269,E01018270,E01018271,E01018272,E01018273,E01018274,E01018275,E01018276,E01018277,E01017943,E01018278,E01017944,E01018279,E01017945,E01018280,E01017946,E01018281,E01017947,E01018282,E01017948,E01018283,E01017949,E01018284,E01017950,E01018285,E01017951,E01018286,E01017952,E01018287,E01017953,E01018288,E01017954,E01018289,E01017955,E01018290,E01017956,E01018291,E01017957,E01018292,E01017958,E01018293,E01017959,E01018294,E01017960,E01018295,E01033425,E01017961,E01018296,E01033426,E01017962,E01018297,E01033113,E01033427,E01017963,E01018298,E01033114,E01033428,E01017964,E01018299,E01033115,E01033429,E01017965,E01018300,E01033116,E01033430,E01017966,E01018301,E01033117,E01017967,E01018302,E01033118,E01017968,E01018303,E01033119,E01017969,E01018304,E01033120,E01017971,E01018305,E01033121,E01017972,E01018306,E01017973,E01018307,E01017974,E01017975,E01017976,E01017977,E01017978,E01017979,E01017980,E01017983,E01017984,E01017985,E01017986,E01017987,E01017988,E01017989,E01017990,E01017991,E01017992,E01017993,E01017994,E01017995,E01017996,E01017997,E01017998,E01017999,E01018000,E01018001,E01018002,E01018003,E01018005,E01018006,E01018007,E01018008,E01018009,E01018010,E01018011,E01018012,E01018013,E01018014,E01018015,E01018016,E01018017,E01018019,E01018020,E01018021,E01018022,E01018023,E01018024,E01018025,E01018026,E01018027,E01018029,E01018030,E01018032,E01018033,E01018034,E01018035,E01018036,E01018037,E01018038,E01018039,E01018040,E01018041,E01018042,E01018043,E01018044,E01018045,E01018046,E01018047,E01018049,E01018050,E01018051,E01018052,E01018053,E01018054,E01018055,E01018056,E01018057,E01032792,E01032794,E01032795,E01032797,E01032802,TOTAL
E01018228,0,2,0,2,0,4,2,2,22,106,86,2,2,2,2,0,0,0,2,2,0,2,4,0,2,0,2,4,2,2,2,0,0,0,4,2,0,0,4,0,4,0,0,0,2,2,0,8,18,6,0,8,0,0,0,10,2,0,0,2,2,2,0,0,0,6,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,2,0,42,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,2,6,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,2,0,0,2,6,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,468
E01018231,2,6,4,14,6,14,12,10,6,4,8,124,92,2,4,10,10,8,4,0,6,6,10,0,10,0,6,2,32,2,0,2,24,42,6,2,24,20,4,6,8,12,0,6,4,8,12,10,8,8,6,0,4,2,0,22,10,12,8,14,2,0,4,2,0,0,2,4,4,2,6,6,2,4,6,4,6,0,4,0,2,4,6,6,2,4,4,0,2,2,0,4,2,4,6,6,0,0,2,4,14,0,0,0,12,2,0,2,14,2,4,2,38,0,2,2,14,2,6,14,0,4,28,4,4,8,2,12,8,6,0,0,4,4,4,2,0,0,0,2,10,2,2,0,2,2,8,4,4,2,0,4,6,4,14,2,4,12,0,0,8,4,8,6,2,4,4,0,0,0,4,2,0,0,0,0,0,0,4,0,2,4,0,2,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,6,0,2,14,10,6,1230
E01018232,0,0,0,2,8,6,10,6,0,2,0,16,92,0,0,4,0,0,0,0,0,0,2,4,2,0,2,4,2,0,0,0,12,22,0,4,12,6,4,2,2,6,4,2,0,0,2,0,0,0,2,2,2,4,2,4,6,4,0,6,0,2,0,2,2,2,0,4,0,0,0,6,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0,4,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,0,0,2,0,0,2,4,8,0,2,0,2,2,2,2,0,2,10,0,2,2,0,0,0,0,6,0,4,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,2,2,0,0,0,0,2,0,2,0,6,2,4,2,0,0,2,0,2,0,2,2,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,0,4,2,0,2,0,0,2,0,0,2,0,0,2,0,444
E01032611,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,12,6,2,0,4,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,4,0,2,0,0,0,116
E01018233,0,0,0,16,8,16,6,0,0,2,0,4,10,2,36,32,44,36,16,6,0,4,0,4,4,4,0,0,2,0,4,2,8,6,2,0,2,2,2,18,4,8,10,0,4,2,20,4,0,0,4,0,2,2,8,4,0,6,2,0,4,4,4,0,2,2,14,0,4,0,0,10,6,6,4,2,4,8,0,2,6,2,0,0,0,0,0,2,2,2,2,0,0,4,8,0,0,4,2,2,4,4,2,6,0,2,0,10,0,6,0,12,0,2,0,0,4,2,2,2,2,0,12,0,20,0,4,6,8,2,14,4,22,6,2,2,10,8,4,0,6,0,0,0,0,0,4,2,0,0,0,0,0,0,8,2,0,0,2,0,2,0,4,0,0,8,0,0,0,2,2,6,10,4,0,12,10,6,2,0,4,2,4,2,0,0,8,0,4,20,14,4,2,0,2,6,4,2,2,4,4,4,2,8,2,18,12,4,12,6,2,2,2,2,4,934
E01018234,0,0,0,6,2,2,0,0,0,0,0,2,4,0,58,62,58,48,10,2,0,0,0,0,4,0,2,0,0,4,4,4,6,2,2,4,0,0,8,0,2,10,6,0,0,0,8,0,2,0,0,2,0,6,4,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,6,2,0,6,4,0,0,2,0,0,6,0,0,0,0,4,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,4,0,4,0,2,0,10,4,0,0,12,8,0,6,0,2,2,0,0,10,6,0,8,10,0,8,0,24,4,2,4,8,4,6,4,0,0,2,0,0,2,0,0,0,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,2,4,2,2,2,0,0,0,0,0,2,0,2,16,4,0,0,0,0,2,0,2,4,0,0,8,2,0,4,2,0,0,2,4,2,4,2,4,0,2,0,2,14,6,2,0,0,0,4,0,0,656
E01018235,0,0,0,0,4,2,0,0,0,0,0,0,0,0,26,44,42,38,6,0,0,2,0,0,0,0,0,0,2,4,0,0,0,4,0,0,0,0,0,6,2,4,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,268
E01018236,0,0,2,2,4,2,0,0,0,0,0,2,4,0,24,38,66,54,6,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,4,0,2,2,4,10,0,2,10,0,0,0,6,2,2,0,2,2,4,0,6,0,0,0,0,0,0,2,4,2,0,0,0,0,4,0,4,4,0,0,0,2,0,4,0,0,8,0,2,0,0,0,0,0,2,2,0,2,0,0,2,2,2,8,0,8,0,0,0,0,0,0,0,0,2,2,0,4,0,4,0,6,0,0,0,2,4,0,4,2,18,0,0,6,4,2,2,0,22,0,2,0,2,4,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,2,8,4,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,10,6,2,2,0,0,0,2,0,2,494
E01018237,0,2,2,4,14,14,0,2,0,0,0,6,6,4,12,2,8,20,72,0,0,0,0,0,4,2,4,0,0,10,10,4,2,4,0,2,0,4,12,4,12,2,4,0,0,0,12,0,4,0,2,2,0,0,4,0,2,2,0,2,0,6,2,0,0,0,2,2,0,2,0,6,2,6,4,2,0,2,2,0,0,2,0,2,2,2,2,0,0,2,0,0,4,0,2,0,0,0,0,0,4,0,2,2,10,2,0,0,4,2,0,2,2,0,0,0,6,0,0,4,0,0,4,0,10,6,0,4,4,0,4,0,16,4,2,8,0,4,4,2,0,2,0,0,0,0,2,2,0,0,4,2,2,0,2,0,0,0,2,0,0,0,0,2,6,0,2,0,2,4,0,0,8,0,0,0,2,0,0,0,0,0,2,2,2,8,0,4,0,0,2,2,0,0,0,0,0,0,0,0,2,4,6,0,0,6,2,8,6,0,2,0,0,0,0,548
E01018238,6,12,6,8,4,6,6,0,8,12,0,6,10,4,4,4,2,0,2,80,40,12,20,2,4,4,2,0,2,2,0,0,4,6,6,0,4,0,2,4,6,4,0,14,8,24,12,16,16,12,6,4,6,2,0,14,4,4,2,8,2,20,2,18,2,42,0,34,0,22,0,2,0,2,4,4,4,4,0,16,4,22,0,8,4,8,2,20,0,6,2,28,2,6,8,6,2,0,0,6,6,0,6,4,6,0,4,0,8,4,2,0,8,2,6,4,0,0,42,6,4,14,6,4,2,4,2,2,0,2,0,2,2,2,2,6,0,0,0,8,2,0,4,4,4,0,6,6,4,6,0,4,0,2,6,4,2,2,4,8,6,2,4,0,0,0,4,4,2,2,0,6,2,8,0,2,0,0,2,0,2,4,2,6,0,2,0,0,4,0,6,2,2,2,2,2,4,0,0,2,0,0,2,0,8,2,0,4,4,8,0,4,2,2,2,1130
E01018239,0,0,6,0,4,0,0,0,0,4,2,4,4,2,0,2,2,0,2,48,40,2,2,0,0,0,2,2,0,0,0,0,2,0,0,2,2,4,0,0,0,0,0,2,2,2,4,2,2,4,0,0,0,4,2,2,0,0,0,0,0,4,0,10,0,4,0,2,0,2,0,0,0,2,0,10,0,0,0,2,2,12,0,0,0,2,0,0,0,6,4,2,0,2,0,0,0,0,2,0,0,2,0,2,2,0,2,0,0,2,0,2,0,0,0,2,0,0,14,0,0,12,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,6,2,0,0,0,0,0,0,2,0,0,2,0,2,0,2,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,324
E01018240,0,0,0,0,2,4,2,0,0,6,4,6,2,0,0,2,0,0,2,0,10,58,6,0,0,0,0,0,0,4,0,0,2,2,2,0,0,6,0,0,6,0,4,0,0,0,2,16,2,4,4,2,0,2,0,10,2,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,10,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,260
E01018241,0,0,2,0,0,6,0,0,8,4,6,0,0,0,4,0,0,0,4,8,2,12,100,2,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,4,2,20,14,16,12,10,2,0,0,4,0,0,0,0,0,0,0,8,0,6,0,2,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,2,0,6,2,8,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,2,0,8,2,0,4,2,0,2,0,0,2,2,0,2,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,370
E01018242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
E01018243,26,32,8,12,10,18,8,8,8,4,6,14,8,14,2,16,20,20,10,16,20,8,2,80,112,52,8,6,12,16,4,4,12,4,8,10,8,12,8,18,14,20,6,16,40,22,12,14,6,2,2,4,12,16,20,24,6,16,12,18,30,24,20,8,12,14,16,12,22,18,12,10,12,2,8,72,6,44,16,20,14,10,2,10,10,4,12,16,2,8,60,14,66,14,14,10,20,12,50,38,4,6,32,16,4,10,42,12,16,14,20,4,8,6,24,12,8,32,6,8,20,12,10,44,20,14,10,12,32,12,10,12,8,18,6,10,6,12,12,8,16,4,10,2,8,6,6,6,2,36,24,16,10,8,20,24,26,22,26,24,16,12,14,20,12,14,6,26,36,10,38,2,14,16,8,2,2,4,14,2,12,4,4,18,4,6,4,8,14,8,4,2,4,8,4,2,2,2,4,12,4,12,8,12,8,6,12,12,4,26,6,14,12,2,8,3118
E01018244,22,12,2,0,2,0,6,4,2,4,2,6,2,2,6,2,4,6,4,6,2,4,6,104,50,70,4,0,0,4,2,4,4,6,6,6,0,0,0,6,4,2,2,12,12,4,10,2,2,2,2,0,2,10,12,0,0,0,6,0,4,10,6,6,6,0,8,10,8,6,0,0,4,4,0,44,0,34,0,14,2,6,0,0,2,2,6,4,0,2,6,10,10,8,4,8,20,8,12,14,2,2,14,8,4,2,14,2,10,4,2,2,4,0,10,2,6,2,8,0,4,6,2,8,4,2,2,2,6,0,0,0,4,0,2,8,10,8,8,2,0,0,0,0,2,0,4,2,0,8,4,8,10,2,10,2,8,4,8,0,8,0,6,2,10,6,2,12,8,2,6,2,6,0,8,0,0,6,4,2,2,0,4,4,4,4,2,2,2,0,0,4,0,4,2,2,0,0,0,2,2,6,0,0,4,2,14,0,0,28,4,0,4,4,2,1190
E01018245,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,90,106,20,2,0,2,4,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278
